model,accuracy,precision,recall,f1,auc,mcc
Logistic Regression,0.8136158851993993,0.7266811279826464,0.2526395173453997,0.3749300503637381,0.718496028564217,0.35149405812439255
Decision Tree,0.8187885866844652,0.6846153846153846,0.33559577677224733,0.45040485829959515,0.7446924443987679,0.3893441639414397
Naive Bayes (Gaussian),0.5750041715334557,0.31198028949799816,0.7639517345399698,0.44303520664771484,0.7299712108475768,0.23766096212757296
k-Nearest Neighbours,0.8097780744201568,0.6317280453257791,0.33634992458521873,0.4389763779527559,0.7412101462694488,0.36135380951598656
Random Forest,0.819289170699149,0.6713681241184767,0.358974358974359,0.4678132678132678,0.7724811834707348,0.39720433533404653
Gradient Boosting,0.8186217253462372,0.6662030598052852,0.361236802413273,0.4684596577017115,0.7727520917219552,0.39578037494769397
